created_at,0
2024-02-24,1
2024-03-07,1
2024-03-18,1
2024-03-30,1
2024-03-31,1
2024-04-01,1
2024-04-13,1
2024-04-16,2
2024-05-08,1
2024-05-19,1
2024-05-22,1
2024-05-23,1
2024-05-29,1
2024-06-01,1
2024-06-02,1
2024-06-04,1
2024-06-16,1
2024-06-17,1
2024-06-23,1
2024-07-10,1
2024-07-11,1
2024-07-21,1
2024-07-22,1
2024-07-29,1
2024-07-30,2
2024-08-02,1
2024-08-12,1
2024-08-19,1
2024-09-04,1
2024-09-05,2
2024-09-06,1
2024-09-07,1
2024-09-23,2
2024-09-24,1
2024-10-07,1
2024-10-22,1
2024-11-17,1
2024-12-10,1
2024-12-11,1
2024-12-12,1
2024-12-16,1
2024-12-21,1
2025-01-02,1
2025-01-10,1
2025-01-19,1
2025-01-21,1
